classify,title,time,url,wapurl,media_name,keywords,content
全部,合众人寿南通中支被罚2万：内部审批流程不规范,2020-03-20 22:45,https://finance.sina.com.cn/jryx/insurance/2020-03-20/doc-iimxxsth0639005.shtml,https://finance.sina.cn/insurance/gsdt/2020-03-20/detail-iimxxsth0639005.d.html,新浪财经,,"3月20日消息，中国银保监会南通监管分局今日公布关于合众人寿保险股份有限公司南通中心支公司的行政处罚信息。
经查，合众人寿南通中支存在着以下违法违规行为：
一、内部审批流程不规范。2019年4月16日陈某某被免去合众人寿南通中支临时负责人职务，调整为营销培训部负责人，但在之后的内部审批流程出现以下未按权限审批的情况：一是财务费用审批超权限。2019年8月至9月，合众人寿南通中支四笔财务凭证的费用报销单上审批签字栏的审批节点“中支总”和附件上“总经理意见”栏签名均为“陈某某”。二是文件签报审批超权限。2019年7月至8月间，3份银代部文件签报流程中显示“陈某某，同意”的审批意见。
二、未在营销员离职后5个工作日内及时收回执业证。2019年1-9月期间内，合众人寿南通中支终止保险代理合同的营销员共106人，截至现场检查日（2019年11月22日），共计收回了营销员执业证48份和执业证遗失说明2份，尚有56位已离职营销员的执业证未收回。
中国银保监会南通监管分局决定对合众人寿南通中支予以罚款人民币金额贰万元的行政处罚。
以下为行政处罚原文：
中国银保监会南通监管分局行政处罚决定书
通银保监罚决字〔2020〕5号
被处罚单位名称：合众人寿保险股份有限公司南通中心支公司
地 址：南通市姚港路6号方天大厦4楼401室及6楼601室
主 要 负 责 人：马树玉
根据《中华人民共和国保险法》《中华人民共和国行政处罚法》等有关规定，我分局对合众人寿保险股份有限公司南通中心支公司（以下简称“合众人寿南通中支”）涉嫌违法一案进行了立案调查、审理，并依法向当事人告知了作出行政处罚的事实、理由、依据及当事人依法享有的权利。在法定陈述申辩期内，当事人未提出陈述申辩意见。本案现已审理终结。
经查，合众人寿南通中支存在着以下违法违规行为：
一、内部审批流程不规范。2019年4月16日陈某某被免去合众人寿南通中支临时负责人职务，调整为营销培训部负责人，但在之后的内部审批流程出现以下未按权限审批的情况：一是财务费用审批超权限。2019年8月至9月，合众人寿南通中支四笔财务凭证的费用报销单上审批签字栏的审批节点“中支总”和附件上“总经理意见”栏签名均为“陈某某”。二是文件签报审批超权限。2019年7月至8月间，3份银代部文件签报流程中显示“陈某某，同意”的审批意见。
二、未在营销员离职后5个工作日内及时收回执业证。2019年1-9月期间内，合众人寿南通中支终止保险代理合同的营销员共106人，截至现场检查日（2019年11月22日），共计收回了营销员执业证48份和执业证遗失说明2份，尚有56位已离职营销员的执业证未收回。
上述事实有现场检查事实确认书、人事任免文件、相关履职行为证据、相关人员调查笔录等证据证明。
综上，我分局决定作出如下行政处罚：
上述内部审批流程不规范的行为违反《保险公司管理规定》第五十五条的规定，根据《保险公司管理规定》第六十九条，我分局决定对合众人寿南通中支予以罚款人民币金额壹万元的行政处罚。
上述未在营销员离职后5个工作日内及时收回执业证的行为违反《保险销售从业人员监管办法》第十八条的规定，根据《保险销售从业人员监管办法》第三十二条，我分局决定对合众人寿南通中支予以罚款人民币金额壹万元的行政处罚。
综上，我分局决定对合众人寿南通中支予以罚款人民币金额贰万元的行政处罚。
当事人应当在接到本处罚决定书之日起15日内持缴款码到财政部指定的12 家代理银行中的任一银行进行同行缴款。逾期，将每日按罚款数额的3%加处罚款。（缴款码将在处罚决定书送达时告知）
当事人如不服本行政处罚决定，可以在收到本处罚决定书之日起60内向江苏银保监局申请行政复议，也可以在收到本处罚决定书之日起6个月内向有管辖权的人民法院提起诉讼。复议、诉讼期间本决定不停止执行。
中国银保监会南通监管分局
2020年3月13日责任编辑：张译文"
全部,67家上市公司业绩大跳水 只因这七大原因,2020-03-20 22:45,https://finance.sina.com.cn/stock/s/2020-03-20/doc-iimxyqwa2076668.shtml,https://finance.sina.cn/stock/ssgs/2020-03-20/detail-iimxyqwa2076668.d.html,新浪财经-自媒体综合,,"原标题：“变脸天团”出道！67家“小鲜肉”企业业绩大跳水，只因这七大原因……
来源：IPO日报
随着年报季来临，各“小鲜肉”上市公司过去一年的成绩纷纷亮相。
有的公司业绩猛增，令人欢欣鼓舞；有的公司业绩“跳水”，令投资者满是失望。
在年报来临季节，IPO日报带大家看看近三年上市的“小鲜肉”们混得怎么样？特别是那些“失落”的次新股，2019年业绩缘何下滑？
67家业绩“变脸”
2017年至今（2020年3月19日），A股近三年共新增792家企业。
这792家企业中，已有495家企业披露了2019年的年报或业绩快报。
令人欣喜的是，大部分新上市企业2019年的归母净利润都实现了增长，但仍有158家企业2019年的归母净利润下降。
其中，越博动力业绩“降幅”最大。
越博动力主要从事新能源汽车动力总成系统的研发、生产和销售，为整车制造厂商提供整体动力系统解决方案。公司目前主要产品为纯电动汽车动力总成系统，主要运用于纯电动客车领域、纯电动物流车等专用车领域。
一眼看去，占着“新能源”概念的越博动力应该度过美好的一年，然而，现实很骨感。
2018年5月，越博动力成功上市，上市前三年业绩猛增，2015年至2017年的归母净利润连续增长，分别为3649.42万元、8186.51万元、9425.71万元。
但上市后，越博动力2018年归母净利润降为2121.18万元，同比下降77.5%，一朝降回三年前。
近期公布的业绩快报显示，越博动力2019年归母净利润为-7.88亿元，亏损规模是2016年-2018年赚取归母净利润之和的3.99倍。
换言之，越博动力前三年赚到的钱，只能弥补2019年亏损的四分之一。
对于业绩变脸，越博动力于公告中表示，
受行业环境及2019年新能源汽车补贴政策调整的影响，新能源汽车市场有所下滑。公司计提各项资产减值准备6.55亿元，其中主要为应收账款计提坏账准备5.12亿元，存货计提跌价准备3325.93万元，固定资产（运营车辆）计提减值准备9659.54万元，商誉计提减值准备2047.44万元。
除了越博动力在“变脸天团”C位出道，还有15个“团队成员”2019年归母净利润同比下降超过1亿元，分别是寒锐钴业、百奥泰、*ST天圣、新疆交建、洁美科技、开立医疗、每日互动、英搏尔、德赛西威、晶晨股份、容百科技、东岳硅材、百邦科技、锐科激光、御家汇。
其中，科创板上市企业有3家，分别是百奥泰、晶晨股份、容百科技。百奥泰亏损缺口扩大近一倍，是本文统计范围内，归母净利润减少第三多的企业。
另外，2020年新上市的企业有2家，3月12日刚刚上市7天的的东岳硅材净利润已经“缩水”，2019年新上市的企业有3家，2018年新上市的企业有5家，2017年新上市的企业最多，有6家企业。
从下降幅度来看，有33家企业2019年的归母净利润同比下降超过50%。
这33家企业中，有11家属于归母净利润减少超过1亿元的企业。比如前文提及的越博动力，其2019年归母净利润下降幅度为3815.13%。
另外22家企业虽然归母净利润没有减少1亿元那么多，但由于本身体量就不大，下降比例已经比较高。它们分别是新劲刚、英可瑞、中欣氟材、岱勒新材、香山股份、星云股份、宇环数控、宇晶股份、怡达股份、三超新材、优刻得、快意电梯、欣锐科技、长川科技、佩蒂股份、西菱动力、聚灿光电、赛托生物、熙菱信息、国立科技、威唐工业、赛隆药业。
其中，新劲刚2019年归母净利润为-2293.16万元，而2018年归母净利润为818.91万元，归母净利润下降幅度为380.03%。
对于业绩下滑，新劲刚于近期的业绩快报中表示，
主要是因为金属基超硬材料制品下游行业持续低迷。外延并购费用增加、持续加大对军工材料业务的研发投入以及汇率波动等也有一定的影响。
除了发布年报和业绩快报的企业外，目前已有100家三年内上市企业发布了2019年业绩预告。
从业绩预告来看，（以归母净利润上限计算）有34家企业2019年的归母净利润同比下降超过50%。它们分别是拉夏贝尔、博天环境、圣龙股份、上海雅仕、清源股份、科森科技、东尼电子、至正股份、金鸿顺、天永智能、碳元科技、乐惠国际、恒银金融、德新交运、中铝国际、晶华新材、惠发食品、天安新材、剑桥科技、睿能科技、实丰文化、丰山集团、沃格光电、日播时尚、弘宇股份、常青股份、科沃斯、索通发展、美芝股份、合盛硅业、中源家居、钧达股份、上海天洋、翔港科技。
其中，拉夏贝尔预计公司2019年归母净利润为-16亿元到-21亿元，而2018年归母净利润为-1.6亿元。其2019年归母净利润至少下降了903.05%。
对此，拉夏贝尔于业绩预告中表示，
亏损的主要原因一是公司主动收缩聚焦，集中资源发展核心女装业务，加快关闭亏损及低效门店，公司国内经营网点数量已由年初的9269个降至年末的4800余个。由于已关闭门店的经营亏损以及一次性确认装修摊销费用，导致亏损4亿至4.5亿元；二是为加速经营现金回流，公司加大了往季货品销售力度及折扣力度，使毛利率下降；三是平均贷款余额增加导致利息支出同比增加，以及公司总部大楼等基建项目投用转固导致折旧费用同比增加；四是处置投资项目导致亏损3亿元。
综上来看，2017年至今新上市的公司中，累计已经有67家企业2019年归母净利润同比下降超过50%。
七大“变脸”关键词
那么，这67家“变脸”企业有什么特征？记者初步统计它们列举的业绩变动原因。
67家企业中，共有30家企业谈及关键词“行业”。
比如优刻得在业绩快报中表示，
2019年利润有所下降，主要原因包括公司主要客户所处的互联网行业整体增速有所放缓以及云计算市场竞争激烈等原因综合造成。
记者统计发现，67家变脸企业中属于计算机、通信和其他电子设备制造业的最多，这也是A股企业最多的行业，共有9家变脸企业，占了上述统计变脸企业的13.43%。不过，从整个行业来看，该行业的变脸概率为8.26%，低于平均值11.26%（以变脸企业占已列示或预告企业的比例来看）。
汽车制造业则是属于变脸概率较高的行业，共有7家企业变脸，“变脸率”为35%。
比如常青股份在公告中表示，
2019年，我国汽车产销整体处于低位运行，产销量低于年初预期，对行业上下游带来较大冲击。公司作为汽车零部件企业，收入规模和经营业绩也出现一定幅度的下滑。
有时，行业因素也会影响到毛利率，67家企业中共有20家企业谈及关键词“毛利率”。
比如，*ST天圣在公告中表示，
受药品招投标降价及地方辅助用药的政策，以及“两票制”的影响，公司外购产品的销售毛利率下降。
67家企业中有20家企业谈及关键词“非经常性损益”。有的企业把2019年归母净利润下降较多的原因之一归结为2018年非经常性损益较多，比如快意电梯就有类似的解释。
非经常性损益是指公司发生的与经营业务无直接关系，或是虽与经营业务相关，但由于其性质、金额或发生频率，影响了真实、公允地反映公司正常盈利能力的各项收入、支出。
如果企业过多依赖这些“外财”，当这部分收入减少时将会对企业的业绩造成重大影响。
另一个关键词“应收账款”被7家变脸企业提及，主要是涉及坏账计提。
比如，容百科技在公告中表示，
本期业绩预告出现同比下降的主要原因是，公司对比克电池的应收账款计提了较大金额坏账准备，并考虑了计提比例提高到70%的业绩影响情况。
同样还是7家变脸企业提及关键词“管理费用”，主要是大额股权激励等。比如，百奥泰2019年一次性确认股权激励费用3.52亿元。
关键词“商誉”则是老调重弹的原因，曾经许多公司因此而“炸雷”。虽然2017年以后上市的公司涉及并购重组不太多，但仍有5家变脸公司提及商誉。
比如中欣氟材于公告中表示，
因为2019年度高宝矿业未实现业绩承诺，并且重新谨慎预计未来盈利情况，公司因此计提商誉减值准备2.49亿元，是造成业绩下滑的主要原因之一。
还有的企业将变脸原因归结为关键词“销售费用”。比如，中源家居于业绩预告中表示，
公司以提升销售额及扩大市场份额为经营导向，加大对新业务的投入，加快品牌、渠道建设，拓展产品品类，导致2019年公司业绩出现一定程度下滑。免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。
责任编辑：王帅"
全部,蓝光嘉宝服务2019年营收增43.4% 净利润增49.6%,2020-03-20 22:44,https://finance.sina.com.cn/stock/s/2020-03-20/doc-iimxyqwa2076590.shtml,https://finance.sina.cn/stock/ssgs/2020-03-20/detail-iimxyqwa2076590.d.html,新浪财经,"蓝光嘉宝服务,年报","新浪财经讯 3月20日晚间，蓝光嘉宝服务发布2019年全年业绩公告。公告显示，集团的收入总额由2018年的14.6亿元增加约43.4%至2019年的21亿元。2019年物业管理服务、谘询服务及社区增值服务产生的收入分别占收入总额的约54.2%、24.4%及21.4%。
具体来看，物业管理服务产生的收入由2018年的899.8百万元增加约26.6%至2019年的1139.4百万元。在管建筑面积由2018年的60.6百万平方米增加约18.3%至2019年的71.7百万平方米。合约面积由2018年的73.6百万平方米增加58.8%至2019年的116.9百万平方米。
集团的毛利由截至2018年12月31日止年度的人民币486.8百万元增加约56.2%至截至2019年12月31日止年度的人民币760.2百万元。毛利率由截至2018年12月31日止年度的33.2%增加3.0个百分点至截至2019年12月31日止年度的36.2%。
集团的淨利润由截至2018年12月31日止年度的人民币296.9百万元增加约49.6%至截至2019年12月31日止年度的人民币444.1百万元。
公司拥有人应佔利润由截至2018年12月31日止年度的人民币289.3百万元增加约48.5%至截至2019年12月31日止年度的人民币429.5百万元。
董事会建议派付截至2019年12月31日止年度的末期股息每股人民币0.97元（税前）。责任编辑：聂小停"
全部,邮储银行南通分行被罚55万：个人贷款用途管控不到位,2020-03-20 22:42,https://finance.sina.com.cn/jryx/bank/2020-03-20/doc-iimxyqwa2076286.shtml,https://finance.sina.cn/2020-03-20/detail-iimxyqwa2076286.d.html,新浪财经,,"3月20日消息，南通银保监分局今日公布关于中国邮政储蓄银行股份有限公司南通市分行的行政处罚信息。
中国邮政储蓄银行股份有限公司南通市分行存在个人贷款用途管控不到位导致贷款资金被挪用、销售行为违规侵害消费者权益的行为。
南通银保监分局决定对中国邮政储蓄银行股份有限公司南通市分行罚款人民币金额五十五万元。
以下为行政处罚信息：
责任编辑：张译文"
全部,"摩根大通计划补助部分一线员工每人1,000美元",2020-03-20 22:41,https://finance.sina.com.cn/stock/usstock/c/2020-03-20/doc-iimxyqwa2076077.shtml,https://finance.sina.cn/usstock/mggd/2020-03-20/detail-iimxyqwa2076077.d.html,新浪财经,,"摩根大通计划向收入较低、以及无法在家办公的分支机构员工发放特别补助。
根据内部备忘录，该行将发放1，000美元给分支机构的员工，以及年度总现金收入不到60，000美元的运营和呼叫中心员工，其中500美元于下月发放，剩余于5月份发放。摩根大通的一位发言人证实了备忘录的内容。
“我们分支、运行部门和呼叫中心等关键机构的许多一线员工，每天依旧前往办公室或分支机构，面临着育儿、交通等方面的挑战，”该行运营委员会在周五发送给员工的备忘录中表示。这笔补助可以帮助他们应对这些挑战，“认可他们对于我们的消费者、客户和社区做出的持续贡献”。
该行还计划给所有员工增加五天的带薪假期。责任编辑：郭明煜"
全部,英国真要“群体免疫”？中国驻英大使:没人再提了,2020-03-20 22:41,https://news.sina.com.cn/w/2020-03-20/doc-iimxxsth0638713.shtml,https://news.sina.cn/gj/2020-03-20/detail-iimxxsth0638713.d.html,北京日报客户端,"疫情,新冠肺炎","原标题：英国真要“群体免疫”？中国驻英大使：没人再提了
近来英国应对疫情的 “群体免疫”的说法引发了热议，即随着越来越多人的患病后痊愈，疾病暴发的几率就会大大降低。
在3月20日晚的《新闻1+1》节目中，中国驻英国大使刘晓明回应称，英国的首席医学顾问确实提出过“群体免疫”，但是这只是一个医学概念，而不是一个政策，而且现在也没有人再提“群体免疫”了。应对新冠肺炎疫情还是要采取全面防控。
责任编辑：杨杰"
全部,巨额商誉竟然消失了 宋城演艺的财技简直逆天了,2020-03-20 22:40,https://finance.sina.com.cn/stock/s/2020-03-20/doc-iimxyqwa2075884.shtml,https://finance.sina.cn/stock/ssgs/2020-03-20/detail-iimxyqwa2075884.d.html,新浪财经-自媒体综合,,"来源：马靖昊说会计
有一位网名叫“乡村小土豆”的朋友在微博问答中提问：老师能分析下宋城演艺的财报吗？
您好！下面应您的要求，对宋城演艺的财务状况进行分析。（注：本期指的是2019年三季度）
说实话，一看到宋城演艺的财报，我就为它的巨额商誉突然之间消失而感到震惊，2019年3季度末，宋城演艺商誉仅4550万元，较2019年1季度末的27.87亿元，降低98.35%。难道它商誉爆雷作了减值处理？再看它的利润表，可没有反映出巨亏啊，2019年前3季度还有13亿元的净利润，那它到底跑那里去了呢？能否不看宋城演艺的相关报道去推测？
当然可以。我当时想，那就只有看长期股权投资了，它在合并报表中反映的是对联营企业、合营企业的股权投资。对子公司的投资由于在合并报表时，要与被合并方所有者权益冲销，在合并报表中是不反映对子公司的投资数额的。一看合并报表中的长期股权投资数额，果不其然，它由2019年1季度的10.55亿元，猛升至3季度的34.36亿元。大家可以具体看下我从宋城报表中摘出的“长期股权投资”以及“商誉”的数额：
2019.9.30 2019.6.30 2019.3.31
长期股权投资 34.36亿 34.11亿 10.55亿
商誉 4550万 4550万 27.87亿
这样，我心中就有数了，原来宋城演艺还真是财技了得，它是将对被投资方的长期股权投资的会计核算方法由成本法改为权益法了，而要达到这个目的，宋城演艺对被投资方只能由“控制”变为“重大影响”，对被投资方的控股权估计应该降至50%以内才能做到。
那么，下面要做的事情，就是开始查相关资料来验证我的推测。
经查，2015年，宋城26.14亿元并购六间房，100%控股，交易溢价高达60多倍，确认了24.17亿元商誉，当时的六间房净资产仅0.38亿元。
所有的秘密都在2019年4月29日宋城演艺发布的《关于子公司北京六间房科技有限公司与北京密境和风科技 有限公司重组方案的进展公告》中，在该公告中，六间房和密境和风完成重组后，宋城演艺对六间房的持股比例为40%。
随后，宋城演艺与奇虎三六零软件（北京）有限公司达成股权转让协议，该公司将所持有的六间房注册资本 235，294 元转让给奇虎三六零，占比 0.47%，转让价格为人民币 4，000 万元，上述交易完成后，该公司将持有六间房 39.53%股权。
从上述转让协议，可以计算出重组后集团公司的估价=4000万元/23.5294万元×5000万元=85亿元。
本次重组交割后，宋城演艺对六间房已不具备控制，不再将其纳入公司合并报表范围。23.7亿元商誉的账面价值将转成长期股权投资，有效转移商誉减值风险。看来，本次重组最主要目的，就是为了有效解决公司的商誉问题。
为什么宋城演艺要这么玩呢？说到底，就是怕商誉爆雷而计提巨额减值。让这么巨额的商誉长期在合并报表中招展，确实让人担心商誉爆雷减值而拖累企业业绩。
现在好了，由于公司进行了重组，六间房变成了宋城演艺参股的联营公司，商誉从账面消失了。摇身一变，转入长期股权投资科目，有效降低商誉减值风险。如果以后业绩差，顶多体现一点投资收益减少，不需要计提巨额商誉减值了，再也不用担心那些财经记者们对商誉叽叽喳喳了！
前面说了一堆宋城演艺在商誉上的财技。说句良心话，该公司从财报上看，净利率超越了贵州茅台，是一门好生意！
宋城演艺2019年净利润13.42亿元，同比增长4.28%，资本市场表现亮眼，2019年股价全年上涨45.58%，不过，最近跌回去了一点，截止今天总市值为387.7亿元。在全球疫情影响下，沪深两市旅游酒店板块连续阴跌，该公司已经相当优秀了，抗跌能力突出，不少景区上市公司直接跌停。宋城演艺“一枝独秀”，其最主要原因是以低投入实现高营收、高毛利的商业模式，让宋城演艺做到了行业的绝对龙头。
下面可以再看几组数据：
1．毛利率净利率双高。宋城演艺本期毛利率73.34%，都快赶上白酒五粮液的毛利率水平了（五粮液本期毛利率73.81%）；本期净利率58.91%，不仅超越五粮液，也超越了贵州茅台（贵州茅台本期净利率53.19%）。超高的毛利率和净利率水平，反映了该公司强悍的盈利能力，说明该公司成本小，费用开支也小，市场定价能力强，竞争优势突出。大额为负的现金循环周期，以及超高的毛利率净利率水平，不得不说宋城演艺做的是一门好生意。在我的印象中，白酒已经属于非常好的生意模式了，没想到宋城演艺的生意模式也这么好。
2．财务结构十分稳健。我们看宋城演艺的资产负债表，该公司有息负债为0元，几乎没有应收账款，也几乎没有存货。截至2019年3季度，公司资产负债率12.33%，同比下降1.31个百分点，财务结构十分稳健。公司负债中有预收账款4.19亿元，递延收益3.83亿元，合计占负债总额52.32%。其中，递延收益为公司收到的政府补助。考虑到上述两项负债不需要支付现金，若剔除这部分影响，公司资产负债率仅为6.5%，资产结构十分稳健。
3．业绩质量不错。2019年前3季度宋城演艺收现比（销售商品、提供劳务收到的现金/营业收入）=1.03，也就是一元收入实际收到现金1.03元。拉长时间看，2016-2018年，公司收现比均大于1，说明公司销售回款的质量高；2019年前3季度宋城演艺净现比（经营现金流量净额/归母净利润）=1.17，也就是1元净利润实际流入1.17元现金。拉长时间看，2016-2018年，公司净现比均大于1，说明公司净利润质量也高。
4．现金流充裕。2016-2019年3季度宋城演艺自由现金流分别3.32亿元、12.26亿元、9.82亿元、8.92亿元，说明该公司具有良好的财务弹性，持续经营能力强。自由现金流占同期营业收入的比重分别为12.56%、40.54%、30.58%、40.44%，不得不说，公司确实很能赚钱，可支持公司规模快速扩张。
5．未来业绩增长可期。本期宋城演艺账面预收账款4.19亿元，递延收益3.83亿元，同期营业收入22.06亿元，预收账款+递延收益/营业收入=36%，占比很高。预收账款虽反映为负债，但他属于公司未确认的收入，是公司提前收到的销售款，因此可以视为营业收入的先行指标。递延收益会在达到确认时点后，逐渐反映在公司利润中。
不过，商誉跑出了合并报表，它真能跑掉吗？跑不掉的，2019年前3季度宋城演艺的长期股权投资为34.36亿元，占总资产比例29.54%。巨额的长期股权投资一样存在减值的风险，只是没有商誉减值那么扎眼而已。
大伙未来要看宋城演艺持有六间房39.53%股权的可回收金额是多少，对六间房23.7亿元长期股权投资与具体可回收金额的差额就是该长期股权投资应计提的减值准备，名字不一样，实质内容并没有改变，买贵了就是买贵了，溢价60多倍，多花出去了的钱到底值不值，就得看六间房的脸色，它要脸色不好，亏损，就要触发减值计提，减商誉与减长期股权投资，本质有区别吗？在利润表里都是资产减值损失！免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。
责任编辑：王帅"
全部,瑞士宣布320亿瑞郎的经济支持计划,2020-03-20 22:39,https://finance.sina.com.cn/stock/usstock/c/2020-03-20/doc-iimxyqwa2075565.shtml,https://finance.sina.cn/usstock/mggd/2020-03-20/detail-iimxyqwa2075565.d.html,新浪财经,,政府在声明中说，新的财政支持计划是在上周宣布的100亿瑞郎计划基础之上的追加，包括流动性支持和为企业提供贷款担保。责任编辑：郭明煜
全部,科创属性评价体系出炉，A股科创公司名单来了,2020-03-20 22:39,https://finance.sina.com.cn/stock/focus/2020-03-20/doc-iimxxsth0638709.shtml,https://finance.sina.cn/2020-03-20/detail-iimxxsth0638709.d.html,新浪财经,,"炒股就看金麒麟分析师研报，权威，专业，及时，全面，助您挖掘潜力主题机会！新浪财经讯 今天，证监会发文明确了企业具有科创属性的特征，那么在A股3805家上市公司中，具有科创属性的公司究竟有哪些呢？新浪财经上市公司研究院统计的数据显示，初步具有科创属性上市公司共有1128家。
3月20日，证监会发布的《科创属性评价指引（试行）》明确了科创属性具体的评价指标体系，采用“常规指标+例外条款”的结构，包括3项常规指标和5项例外条款。企业如同时满足3项常规指标，即可认为具有科创属性；如不同时满足3项常规指标，但是满足5项例外条款的任意1项，也可认为具有科创属性。
3项常规指标：最近三年研发投入占营业收入比例5%以上或最近三年研发投入金额累计在6000万元以上；形成主营业务收入的发明专利5项以上；最近三年营业收入复合增长率达到20%或最近一年营业收入金额达到3亿元。
新浪财经统计的数据显示，初步具有科创属性上市公司共有1128家。因为专利数据的不全，在同时满足研发和营收相关指标后，按照2018年专利技术的账面价值排序，排名前10名的公司分别为众泰汽车、三安光电、中国石化、恒源煤电、中化国际、格力电器、欧菲光、中国西电、中环股份、上海电气，所对应专利技术的账面价值分别为15.24亿元、14.63亿元、13.51亿元、10亿元、8.56亿元、8.18亿元、7.78亿元、7.38亿元、7.27亿元、6.9亿元。
由于数据的不完整，特别说明如下：
1、由于2019年年报数据不完整，最近三年的数据为2016-2018年的数据；
2、上市公司对专利的相关数据披露未进行详尽披露，故无法进行直接判断，新浪财经主要筛选了符合“最近三年研发投入占营业收入比例5%以上或最近三年研发投入金额累计在6000万元以上”和“最近三年营业收入复合增长率达到20%或最近一年营业收入金额达到3亿元”两个指标的名单；
3、新浪财经将2018年专利账面价值为零和为负的上市公司进行了剔除；
4、经初步估算，初步具有科创属性上市公司共有1128家，名单如下（按专利账面价值排序，列式前100名，仅供参考）。
责任编辑：黄朋"
全部,美国2月二手房折合年率销量增长6.5%至577万套,2020-03-20 22:36,https://finance.sina.com.cn/stock/usstock/c/2020-03-20/doc-iimxxsth0637495.shtml,https://finance.sina.cn/usstock/mggd/2020-03-20/detail-iimxxsth0637495.d.html,新浪财经,,"美国全国地产经纪商协会表示，2月份二手房折合年率销量为577万套，预估为551万套。
62位经济学家的预估区间为538万套-573万套
1月份销售数据修正至542万套
二手房销量增长6.5%，前月下降2%
2月份房屋库存可售3.1个月，前一个月为3.1个月
首套房购买者占总销售的32%；全现金购买的占20%；投资性买房占17%
二手房中间价较上年同期上升8%至270，100美元
责任编辑：郭明煜"
